1, 5.1, 3.5, 1.4, 0.2, Iris-setosa
2, 4.9, 3.0, 1.4, 0.2, Iris-setosa
3, 4.6, 3.1, 1.5, 0.2, Iris-setosa
4, 5.0, 3.6, 1.4, 0.2, Iris-setosa
5, 5.4, 3.9, 1.7, 0.4, Iris-setosa
6, 4.6, 3.4, 1.4, 0.3, Iris-setosa
7, 5.0, 3.4, 1.5, 0.2, Iris-setosa
8, 4.4, 2.9, 1.4, 0.2, Iris-setosa
9, 5.4, 3.7, 1.5, 0.2, Iris-setosa
10, 4.8, 3.4, 1.6, 0.2, Iris-setosa
11, 4.8, 3.0, 1.4, 0.1, Iris-setosa
12, 4.3, 3.0, 1.1, 0.1, Iris-setosa
13, 5.7, 4.4, 1.5, 0.4, Iris-setosa
14, 5.4, 3.9, 1.3, 0.4, Iris-setosa
15, 5.1, 3.5, 1.4, 0.3, Iris-setosa
